vector_type,algorithm,size,time_ms,stress,ram_mb,energy_j
endnoise,HeapSort,1000000,401.171,None,0,0
ordered,HeapSort,1000000,413.227,None,0,0
random_swaps,HeapSort,1000000,366.554,None,0,0
random,HeapSort,1000000,434.356,None,0,0
repeated_1_5,HeapSort,1000000,314.686,None,0,0
repeated,HeapSort,1000000,24.4021,None,0,0
reversed,HeapSort,1000000,391.608,None,0,0
zigzag,HeapSort,1000000,404.614,None,0,0
endnoise,MergeSort,1000000,328.482,None,0,0
ordered,MergeSort,1000000,331.772,None,0,0
random_swaps,MergeSort,1000000,389.19,None,0,0
random,MergeSort,1000000,490.934,None,0,0
repeated_1_5,MergeSort,1000000,433.788,None,0,0
repeated,MergeSort,1000000,325.94,None,0,0
reversed,MergeSort,1000000,369.584,None,0,0
zigzag,MergeSort,1000000,413.293,None,0,0
endnoise,QuickSort,1000000,5690.19,None,0,0
ordered,QuickSort,1000000,5424.37,None,0,0
random_swaps,QuickSort,1000000,311.718,None,0,0
random,QuickSort,1000000,307.027,None,0,0
repeated_1_5,QuickSort,1000000,29.9318,None,0,0
repeated,QuickSort,1000000,4.57221,None,0,0
reversed,QuickSort,1000000,4725.42,None,0,0
zigzag,QuickSort,1000000,589.418,None,0,0
