vector_type,algorithm,size,time_ms,stress,ram_kb_max,ram_kb_media,energy_j
endnoise,HeapSort,10000000,4490.67,None,42944,42811,111.31
ordered,HeapSort,10000000,3942.8,None,42948,42815,150.089
random_swaps,HeapSort,10000000,4109.08,None,42944,42811,148.398
random,HeapSort,10000000,6796.72,None,42904,42771,229
repeated_1_5,HeapSort,10000000,3393.87,None,42900,42767,92.8636
repeated,HeapSort,10000000,208.807,None,42948,42812,6.24602
reversed,HeapSort,10000000,3775.55,None,42916,42783,134.398
zigzag,HeapSort,10000000,3936.56,None,42928,42795,120.549
endnoise,MergeSort,10000000,3473.86,None,81844,48547,128.541
ordered,MergeSort,10000000,4117.11,None,81892,48617,111.083
random_swaps,MergeSort,10000000,4125.32,None,81788,48643,106.873
random,MergeSort,10000000,4710.01,None,81876,48913,160.872
repeated_1_5,MergeSort,10000000,3858.8,None,81848,48530,130.896
repeated,MergeSort,10000000,3915.86,None,81748,48602,108.153
reversed,MergeSort,10000000,3867.43,None,81832,48606,97.1898
zigzag,MergeSort,10000000,3594.05,None,81872,48627,112.684
endnoise,QuickSort,10000000,170663,None,43124,42929,4419.79
ordered,QuickSort,10000000,173452,None,43136,42929,4853.54
random_swaps,QuickSort,10000000,3170.28,None,42916,42783,110.761
random,QuickSort,10000000,3964.31,None,42932,42799,99.4938
repeated_1_5,QuickSort,10000000,284.486,None,42944,42809,7.63835
repeated,QuickSort,10000000,32.1815,None,42944,42795,1.52624
reversed,QuickSort,10000000,126626,None,43084,42924,3163.05
zigzag,QuickSort,10000000,12545,None,42984,42839,546.177
