vector_type,algorithm,size,time_ms,stress,carga,ram_kb_max,ram_kb_media,energy_j,comparisons,swaps
endnoise,HeapSort,10000000,703.818,none,0,43112,42886,12.8442,446056168,232185536
endnoise,MergeSort,10000000,508.425,none,0,81968,49241,8.68302,119525953,0
endnoise,QuickSort,10000000,368.159,none,0,43132,42938,8.07957,530500174,161104803
ordered,HeapSort,10000000,617.532,none,0,43128,42934,14.3763,445162673,231881708
ordered,MergeSort,10000000,501.121,none,0,81968,48527,9.24516,118788160,0
ordered,QuickSort,10000000,265.723,none,0,43076,42881,5.92619,426445618,116046024
random,HeapSort,10000000,1481.63,none,0,43088,42895,36.4218,434646478,223836727
random,MergeSort,10000000,1142.79,none,0,81952,49367,25.1429,220104411,0
random,QuickSort,10000000,841.404,none,0,43092,42899,16.1013,585074947,149196793
random_swaps,HeapSort,10000000,661.892,none,0,43080,42886,15.6403,444849277,231605792
random_swaps,MergeSort,10000000,493.687,none,0,81992,48804,11.7972,201023078,0
random_swaps,QuickSort,10000000,490.701,none,0,43128,42934,10.9211,688909350,216882152
repeated_1_5,HeapSort,10000000,590.864,none,0,43120,42926,11.6292,351622539,177537528
repeated_1_5,MergeSort,10000000,612.477,none,0,81908,48697,14.2182,201960755,0
repeated_1_5,QuickSort,10000000,2505.79,none,0,43128,42935,55.8402,258330577,121244670
repeated,HeapSort,10000000,32.9079,none,0,43076,42866,0.897154,29999994,9999999
repeated,MergeSort,10000000,461.213,none,0,81952,49077,10.9493,118788160,0
repeated,QuickSort,10000000,2675.48,none,0,43112,42919,57.0466,215374223,120243441
reversed,HeapSort,10000000,675.625,none,0,43128,42934,15.2909,426919609,216912428
reversed,MergeSort,10000000,491.395,none,0,81992,49259,9.56107,114434624,0
reversed,QuickSort,10000000,296.547,none,0,43128,42933,6.75218,434489484,122326263
zigzag,HeapSort,10000000,704.783,none,0,43076,42882,17.1565,432463026,221896606
zigzag,MergeSort,10000000,474.714,none,0,81888,48299,11.0808,171731584,0
zigzag,QuickSort,10000000,412.053,none,0,43124,42930,7.95451,516288662,156489976
endnoise,HeapSort,10000000,633.239,none,0,43128,42934,14.7595,446056168,232185536
endnoise,MergeSort,10000000,458.291,none,0,81968,48681,10.9027,119525953,0
endnoise,QuickSort,10000000,371.027,none,0,43056,42862,8.16416,530500174,161104803
ordered,HeapSort,10000000,623.688,none,0,43104,42909,14.2015,445162673,231881708
ordered,MergeSort,10000000,453.842,none,0,81952,48328,10.8264,118788160,0
ordered,QuickSort,10000000,265.146,none,0,43072,42877,5.95171,426445618,116046024
random,HeapSort,10000000,1501.51,none,0,43124,42931,35.6228,434646478,223836727
random,MergeSort,10000000,1144.51,none,0,81972,49161,25.4386,220104411,0
random,QuickSort,10000000,789.251,none,0,43128,42935,17.87,585074947,149196793
random_swaps,HeapSort,10000000,675.271,none,0,43128,42934,16.4711,444849277,231605792
random_swaps,MergeSort,10000000,504.236,none,0,81952,48936,11.4555,201023078,0
random_swaps,QuickSort,10000000,490.879,none,0,43068,42874,10.9458,688909350,216882152
repeated_1_5,HeapSort,10000000,550.275,none,0,43128,42934,12.9236,351622539,177537528
repeated_1_5,MergeSort,10000000,615.783,none,0,81940,48333,14.4406,201960755,0
repeated_1_5,QuickSort,10000000,2620.9,none,0,43124,42931,49.8599,258330577,121244670
repeated,HeapSort,10000000,31.6333,none,0,43104,42894,0.894041,29999994,9999999
repeated,MergeSort,10000000,449.323,none,0,81952,49210,10.9222,118788160,0
repeated,QuickSort,10000000,3481.66,none,0,43080,42887,64.9298,215374223,120243441
reversed,HeapSort,10000000,671.817,none,0,43104,42910,15.422,426919609,216912428
reversed,MergeSort,10000000,445.231,none,0,81896,48352,10.6958,114434624,0
reversed,QuickSort,10000000,296.753,none,0,43116,42921,6.89372,434489484,122326263
zigzag,HeapSort,10000000,703.893,none,0,43132,42938,17.3079,432463026,221896606
zigzag,MergeSort,10000000,505.099,none,0,81900,48080,10.0953,171731584,0
zigzag,QuickSort,10000000,389.033,none,0,43084,42890,8.81107,516288662,156489976
endnoise,HeapSort,10000000,652.786,none,0,43132,42938,14.8335,446056168,232185536
endnoise,MergeSort,10000000,490.535,none,0,81904,48686,9.70609,119525953,0
endnoise,QuickSort,10000000,369.461,none,0,43096,42902,8.20982,530500174,161104803
ordered,HeapSort,10000000,666.318,none,0,43088,42894,13.112,445162673,231881708
ordered,MergeSort,10000000,450.667,none,0,81952,49083,10.9517,118788160,0
ordered,QuickSort,10000000,277.333,none,0,43132,42937,5.52605,426445618,116046024
random,HeapSort,10000000,1478.99,none,0,43092,42899,37.0785,434646478,223836727
random,MergeSort,10000000,1146.72,none,0,81984,49282,25.5945,220104411,0
random,QuickSort,10000000,828.458,none,0,43112,42919,16.1268,585074947,149196793
random_swaps,HeapSort,10000000,732.078,none,0,43128,42935,14.3487,444849277,231605792
random_swaps,MergeSort,10000000,500.09,none,0,81952,48857,11.5959,201023078,0
random_swaps,QuickSort,10000000,516.349,none,0,43104,42910,9.8707,688909350,216882152
repeated_1_5,HeapSort,10000000,598.101,none,0,43128,42934,11.5245,351622539,177537528
repeated_1_5,MergeSort,10000000,619.01,none,0,81940,48035,14.1691,201960755,0
repeated_1_5,QuickSort,10000000,2618.61,none,0,43136,42943,49.9409,258330577,121244670
repeated,HeapSort,10000000,31.915,none,0,43088,42878,0.876341,29999994,9999999
repeated,MergeSort,10000000,497.428,none,0,81968,48148,9.48118,118788160,0
repeated,QuickSort,10000000,2668.33,none,0,43120,42927,57.6875,215374223,120243441
reversed,HeapSort,10000000,676.004,none,0,43068,42874,15.3083,426919609,216912428
reversed,MergeSort,10000000,477.868,none,0,81948,48768,9.47709,114434624,0
reversed,QuickSort,10000000,296.205,none,0,43132,42937,6.71299,434489484,122326263
zigzag,HeapSort,10000000,718.717,none,0,43132,42938,16.5247,432463026,221896606
zigzag,MergeSort,10000000,503.649,none,0,81952,48339,10.037,171731584,0
zigzag,QuickSort,10000000,388.526,none,0,43124,42930,8.78519,516288662,156489976
endnoise,HeapSort,10000000,692.243,none,0,43132,42938,13.3415,446056168,232185536
endnoise,MergeSort,10000000,466.558,none,0,82072,48482,11.3581,119525953,0
endnoise,QuickSort,10000000,385.086,none,0,43128,42934,7.4752,530500174,161104803
ordered,HeapSort,10000000,676.308,none,0,43104,42910,13.0159,445162673,231881708
ordered,MergeSort,10000000,454.902,none,0,82076,48037,11.0622,118788160,0
ordered,QuickSort,10000000,276.707,none,0,43100,42905,5.49089,426445618,116046024
random,HeapSort,10000000,1617.06,none,0,43128,42935,32.7203,434646478,223836727
random,MergeSort,10000000,1140.13,none,0,81996,49541,25.3997,220104411,0
random,QuickSort,10000000,824.85,none,0,43124,42931,16.0706,585074947,149196793
random_swaps,HeapSort,10000000,655.969,none,0,43072,42878,16.2887,444849277,231605792
random_swaps,MergeSort,10000000,526.87,none,0,81900,48632,10.431,201023078,0
random_swaps,QuickSort,10000000,490.823,none,0,43080,42886,10.8243,688909350,216882152
repeated_1_5,HeapSort,10000000,542.449,none,0,43128,42934,13.4751,351622539,177537528
repeated_1_5,MergeSort,10000000,650.525,none,0,81912,48049,12.906,201960755,0
repeated_1_5,QuickSort,10000000,2502.71,none,0,43132,42939,54.4814,258330577,121244670
repeated,HeapSort,10000000,32.3986,none,0,43096,42886,0.908994,29999994,9999999
repeated,MergeSort,10000000,458.125,none,0,81992,49166,10.4688,118788160,0
repeated,QuickSort,10000000,2774.9,none,0,43128,42935,53.0447,215374223,120243441
reversed,HeapSort,10000000,726.927,none,0,43120,42927,14.0559,426919609,216912428
reversed,MergeSort,10000000,489.108,none,0,81944,48912,9.07883,114434624,0
reversed,QuickSort,10000000,296.951,none,0,43080,42885,6.80742,434489484,122326263
zigzag,HeapSort,10000000,714.499,none,0,43132,42938,16.5792,432463026,221896606
zigzag,MergeSort,10000000,502.35,none,0,81948,48781,10.1621,171731584,0
zigzag,QuickSort,10000000,389.013,none,0,43132,42938,8.73283,516288662,156489976
endnoise,HeapSort,10000000,690.057,none,0,43120,42925,13.2954,446056168,232185536
endnoise,MergeSort,10000000,509.245,none,0,81952,49228,9.15855,119525953,0
endnoise,QuickSort,10000000,392.134,none,0,43128,42932,7.41111,530500174,161104803
ordered,HeapSort,10000000,670.497,none,0,43076,42882,13.0357,445162673,231881708
