vector_type,algorithm,size,time_ms,stress,ram_kb_max,ram_kb_media,energy_j,comparisons,swaps
endnoise,HeapSort,100000000,8201.49,none,394624,394399,-1,5128959434,2656428126
endnoise,HeapSort,100000000,11130.6,cpu,394680,394527,-1,5128959434,2656428126
endnoise,HeapSort,100000000,16871.2,ram,30656960,28926243,-1,5128959434,2656428126
endnoise,HeapSort,100000000,41971.1,both,30913196,29610820,-1,5128959434,2656428126
endnoise,MergeSort,100000000,5119.73,none,784992,428071,-1,1360623793,0
endnoise,MergeSort,100000000,9414.4,cpu,784524,424439,-1,1360623793,0
endnoise,MergeSort,100000000,19604.3,ram,30713096,29409966,-1,1360623793,0
endnoise,MergeSort,100000000,35126.8,both,30758864,28733201,-1,1360623793,0
endnoise,QuickSort,100000000,4799.53,none,394556,394451,-1,7283558160,2239898601
endnoise,QuickSort,100000000,7059.77,cpu,394644,394575,-1,7283558160,2239898601
endnoise,QuickSort,100000000,9755.59,ram,30777024,28377528,-1,7283558160,2239898601
endnoise,QuickSort,100000000,16071.8,both,30837112,27895757,-1,7283558160,2239898601
ordered,HeapSort,100000000,7793.34,none,394544,394439,-1,5119014040,2652454802
ordered,HeapSort,100000000,11004.2,cpu,394628,394563,-1,5119014040,2652454802
ordered,HeapSort,100000000,19492.5,ram,30888824,29489583,-1,5119014040,2652454802
ordered,HeapSort,100000000,40381.7,both,30932728,29517217,-1,5119014040,2652454802
ordered,MergeSort,100000000,5153.11,none,784944,427914,-1,1351335168,0
ordered,MergeSort,100000000,8346.68,cpu,784484,425539,-1,1351335168,0
ordered,MergeSort,100000000,20557,ram,30925900,29648407,-1,1351335168,0
ordered,MergeSort,100000000,40168.8,both,30971964,29715685,-1,1351335168,0
ordered,QuickSort,100000000,3362.43,none,394536,394431,-1,4931564600,1347338252
ordered,QuickSort,100000000,4829.3,cpu,394628,394559,-1,4931564600,1347338252
ordered,QuickSort,100000000,5750.51,ram,30913896,26827505,-1,4931564600,1347338252
ordered,QuickSort,100000000,13500,both,30972736,27763611,-1,4931564600,1347338252
random,HeapSort,100000000,25614.7,none,394540,394435,-1,5012871951,2571577939
random,HeapSort,100000000,40351.8,cpu,394620,394555,-1,5012871951,2571577939
random,HeapSort,100000000,59422,ram,30981076,30502198,-1,5012871951,2571577939
random,HeapSort,100000000,98909.9,both,31175268,30444320,-1,5012871951,2571577939
random,MergeSort,100000000,13016.8,none,784872,432015,-1,2532922684,0
random,MergeSort,100000000,18614.2,cpu,784648,431093,-1,2532922684,0
random,MergeSort,100000000,33076.6,ram,31168972,30186921,-1,2532922684,0
random,MergeSort,100000000,69168.4,both,31278296,30415684,-1,2532922684,0
random,QuickSort,100000000,9210.15,none,394544,394459,-1,6790476312,1814376024
random,QuickSort,100000000,12510.9,cpu,394696,394591,-1,6790476312,1814376024
random,QuickSort,100000000,22329.8,ram,31272328,29893668,-1,6790476312,1814376024
random,QuickSort,100000000,31345.1,both,31224200,29671715,-1,6790476312,1814376024
random_swaps,HeapSort,100000000,7905.75,none,394624,394459,-1,5116272301,2648852402
random_swaps,HeapSort,100000000,12910.7,cpu,394716,394587,-1,5116272301,2648852402
random_swaps,HeapSort,100000000,17349.7,ram,31148040,29671659,-1,5116272301,2648852402
random_swaps,HeapSort,100000000,34308.5,both,31283028,29486767,-1,5116272301,2648852402
random_swaps,MergeSort,100000000,5855.78,none,784964,427371,-1,2338959016,0
random_swaps,MergeSort,100000000,9807.51,cpu,784948,425606,-1,2338959016,0
random_swaps,MergeSort,100000000,18338.5,ram,31205228,29693414,-1,2338959016,0
