vector_type,algorithm,size,time_ms,stress,carga,ram_kb_max,ram_kb_media,energy_j,comparisons,swaps
endnoise,HeapSort,10000000,703.818,none,0,43112,42886,12.8442,446056168,232185536
endnoise,MergeSort,10000000,508.425,none,0,81968,49241,8.68302,119525953,0
endnoise,QuickSort,10000000,368.159,none,0,43132,42938,8.07957,530500174,161104803
endnoise,HeapSort,10000000,633.239,none,0,43128,42934,14.7595,446056168,232185536
endnoise,MergeSort,10000000,458.291,none,0,81968,48681,10.9027,119525953,0
endnoise,QuickSort,10000000,371.027,none,0,43056,42862,8.16416,530500174,161104803
endnoise,HeapSort,10000000,652.786,none,0,43132,42938,14.8335,446056168,232185536
endnoise,MergeSort,10000000,490.535,none,0,81904,48686,9.70609,119525953,0
endnoise,QuickSort,10000000,369.461,none,0,43096,42902,8.20982,530500174,161104803
endnoise,HeapSort,10000000,692.243,none,0,43132,42938,13.3415,446056168,232185536
endnoise,MergeSort,10000000,466.558,none,0,82072,48482,11.3581,119525953,0
endnoise,QuickSort,10000000,385.086,none,0,43128,42934,7.4752,530500174,161104803
endnoise,HeapSort,10000000,690.057,none,0,43120,42925,13.2954,446056168,232185536
endnoise,MergeSort,10000000,509.245,none,0,81952,49228,9.15855,119525953,0
endnoise,QuickSort,10000000,392.134,none,0,43128,42932,7.41111,530500174,161104803
endnoise,HeapSort,10000000,788.217,cpu,0.5,43252,43067,38.9054,446056168,232185536
endnoise,HeapSort,10000000,717.282,ram,0.5,16819704,16820174,18.3388,446056168,232185536
endnoise,HeapSort,10000000,802.266,both,0.5,16820048,16820267,43.3804,446056168,232185536
endnoise,MergeSort,10000000,625.302,cpu,0.5,82116,48772,30.9775,119525953,0
endnoise,MergeSort,10000000,478.122,ram,0.5,16859200,16825933,14.1744,119525953,0
endnoise,MergeSort,10000000,731.601,both,0.5,16859136,16825874,28.0954,119525953,0
endnoise,QuickSort,10000000,458.626,cpu,0.5,43248,43062,22.1635,530500174,161104803
endnoise,QuickSort,10000000,396.725,ram,0.5,16820008,16820222,10.7384,530500174,161104803
endnoise,QuickSort,10000000,457.005,both,0.5,16820068,16820286,24.3401,530500174,161104803
endnoise,HeapSort,10000000,790.593,cpu,0.5,43256,43071,39.3065,446056168,232185536
endnoise,HeapSort,10000000,639.958,ram,0.5,16819888,16820229,20.8626,446056168,232185536
endnoise,HeapSort,10000000,798.756,both,0.5,16819888,16820299,43.7266,446056168,232185536
endnoise,MergeSort,10000000,624.02,cpu,0.5,82108,48713,31.0432,119525953,0
endnoise,MergeSort,10000000,535.895,ram,0.5,16859160,16826336,12.5852,119525953,0
endnoise,MergeSort,10000000,632.48,both,0.5,16858980,16826057,34.7848,119525953,0
endnoise,QuickSort,10000000,457.29,cpu,0.5,43236,43050,22.2438,530500174,161104803
endnoise,QuickSort,10000000,405.93,ram,0.5,16820016,16820234,10.5725,530500174,161104803
endnoise,QuickSort,10000000,457.23,both,0.5,16819760,16820298,24.6896,530500174,161104803
endnoise,HeapSort,10000000,917.058,cpu,0.5,43196,43011,31.5087,446056168,232185536
endnoise,HeapSort,10000000,642.668,ram,0.5,16819924,16820202,20.5452,446056168,232185536
endnoise,HeapSort,10000000,804.08,both,0.5,16820144,16820299,43.6149,446056168,232185536
endnoise,MergeSort,10000000,624.739,cpu,0.5,82112,48706,31.4,119525953,0
endnoise,MergeSort,10000000,517.952,ram,0.5,16859292,16825547,13.3878,119525953,0
endnoise,MergeSort,10000000,712.361,both,0.5,16859336,16826043,28.5531,119525953,0
endnoise,QuickSort,10000000,493.058,cpu,0.5,43244,43058,19.4593,530500174,161104803
endnoise,QuickSort,10000000,368.608,ram,0.5,16820052,16820200,11.5379,530500174,161104803
endnoise,QuickSort,10000000,505.619,both,0.5,16820144,16820306,20.803,530500174,161104803
endnoise,HeapSort,10000000,917.398,cpu,0.5,43256,43071,31.2049,446056168,232185536
endnoise,HeapSort,10000000,734.811,ram,0.5,16819936,16820219,17.4108,446056168,232185536
endnoise,HeapSort,10000000,932.459,both,0.5,16819760,16820303,35.0971,446056168,232185536
endnoise,MergeSort,10000000,733.564,cpu,0.5,82116,48609,25.1887,119525953,0
endnoise,MergeSort,10000000,552.75,ram,0.5,16859192,16826333,11.6797,119525953,0
endnoise,MergeSort,10000000,737.551,both,0.5,16859316,16826367,27.6265,119525953,0
endnoise,QuickSort,10000000,490.784,cpu,0.5,43192,43006,19.4884,530500174,161104803
endnoise,QuickSort,10000000,370.36,ram,0.5,16819880,16820226,11.8332,530500174,161104803
endnoise,QuickSort,10000000,498.619,both,0.5,16819752,16820294,21.1844,530500174,161104803
endnoise,HeapSort,10000000,923.322,cpu,0.5,43236,43051,30.9437,446056168,232185536
endnoise,HeapSort,10000000,639.82,ram,0.5,16819780,16820190,20.9449,446056168,232185536
endnoise,HeapSort,10000000,939.349,both,0.5,16820144,16820299,34.9172,446056168,232185536
endnoise,MergeSort,10000000,723.78,cpu,0.5,82112,48881,25.0999,119525953,0
endnoise,MergeSort,10000000,465.732,ram,0.5,16859296,16825954,14.7746,119525953,0
endnoise,MergeSort,10000000,637.333,both,0.5,16859332,16826338,34.0556,119525953,0
endnoise,QuickSort,10000000,456.434,cpu,0.5,43240,43054,22.1592,530500174,161104803
endnoise,QuickSort,10000000,370.649,ram,0.5,16819880,16820222,11.6738,530500174,161104803
endnoise,QuickSort,10000000,530.711,both,0.5,16819956,16820246,19.9528,530500174,161104803
endnoise,HeapSort,10000000,1050.05,cpu,1,43284,43135,50.0111,446056168,232185536
endnoise,HeapSort,10000000,986.333,ram,1,30243240,30184385,37.3309,446056168,232185536
endnoise,HeapSort,10000000,1482.71,both,1,30842664,30501448,66.3475,446056168,232185536
endnoise,MergeSort,10000000,998.374,cpu,1,82168,48544,47.1888,119525953,0
endnoise,MergeSort,10000000,593.885,ram,1,30819176,30762415,22.2207,119525953,0
endnoise,MergeSort,10000000,1348.97,both,1,30821808,30754296,61.3535,119525953,0
endnoise,QuickSort,10000000,807.437,cpu,1,43276,43123,37.6806,530500174,161104803
endnoise,QuickSort,10000000,540.742,ram,1,30834216,30734117,15.9306,530500174,161104803
endnoise,QuickSort,10000000,921.211,both,1,30804520,30745109,44.5427,530500174,161104803
endnoise,HeapSort,10000000,1257.13,cpu,1,43256,43106,50.1315,446056168,232185536
endnoise,HeapSort,10000000,837.308,ram,1,31000012,30910894,31.5366,446056168,232185536
endnoise,HeapSort,10000000,1517.59,both,1,30997432,30935671,72.201,446056168,232185536
endnoise,MergeSort,10000000,992.98,cpu,1,82124,49343,46.0328,119525953,0
endnoise,MergeSort,10000000,601.359,ram,1,30989536,30860533,22.1068,119525953,0
endnoise,MergeSort,10000000,1791.06,both,1,31044188,30936460,77.8691,119525953,0
endnoise,QuickSort,10000000,663.238,cpu,1,43292,43137,31.7792,530500174,161104803
endnoise,QuickSort,10000000,551.6,ram,1,31019320,30942232,17.3491,530500174,161104803
endnoise,QuickSort,10000000,1002.77,both,1,31058616,30952973,43.1484,530500174,161104803
endnoise,HeapSort,10000000,1065.39,cpu,1,43288,43138,40.0304,446056168,232185536
endnoise,HeapSort,10000000,944.198,ram,1,31109044,31018041,35.9049,446056168,232185536
endnoise,HeapSort,10000000,2193.55,both,1,31122360,31040453,94.363,446056168,232185536
endnoise,MergeSort,10000000,771.619,cpu,1,81868,48455,29.6879,119525953,0
endnoise,MergeSort,10000000,654.707,ram,1,31148396,31057809,19.7016,119525953,0
endnoise,MergeSort,10000000,1707.96,both,1,31162424,31074308,78.9071,119525953,0
endnoise,QuickSort,10000000,681.896,cpu,1,43292,43138,32.6608,530500174,161104803
endnoise,QuickSort,10000000,585.823,ram,1,31148744,31072502,19.4698,530500174,161104803
endnoise,QuickSort,10000000,990.793,both,1,31159764,31084078,45.5766,530500174,161104803
endnoise,HeapSort,10000000,1208.68,cpu,1,43188,43034,54.5994,446056168,232185536
endnoise,HeapSort,10000000,984.748,ram,1,31294152,31204614,25.128,446056168,232185536
endnoise,HeapSort,10000000,1962.43,both,1,31276088,31208820,90.8129,446056168,232185536
endnoise,MergeSort,10000000,1020.36,cpu,1,82012,48613,47.9539,119525953,0
endnoise,MergeSort,10000000,641.919,ram,1,31251128,31173222,19.2303,119525953,0
endnoise,MergeSort,10000000,1618.67,both,1,31250100,31151112,67.9638,119525953,0
