vector_type,algorithm,size,time_ms,stress,carga,ram_kb_max,ram_kb_media,energy_j,comparisons,swaps
endnoise,HeapSort,10000000,703.818,none,0,43112,42886,12.8442,446056168,232185536
ordered,HeapSort,10000000,617.532,none,0,43128,42934,14.3763,445162673,231881708
random,HeapSort,10000000,1481.63,none,0,43088,42895,36.4218,434646478,223836727
random_swaps,HeapSort,10000000,661.892,none,0,43080,42886,15.6403,444849277,231605792
repeated_1_5,HeapSort,10000000,590.864,none,0,43120,42926,11.6292,351622539,177537528
repeated,HeapSort,10000000,32.9079,none,0,43076,42866,0.897154,29999994,9999999
reversed,HeapSort,10000000,675.625,none,0,43128,42934,15.2909,426919609,216912428
zigzag,HeapSort,10000000,704.783,none,0,43076,42882,17.1565,432463026,221896606
endnoise,HeapSort,10000000,633.239,none,0,43128,42934,14.7595,446056168,232185536
ordered,HeapSort,10000000,623.688,none,0,43104,42909,14.2015,445162673,231881708
random,HeapSort,10000000,1501.51,none,0,43124,42931,35.6228,434646478,223836727
random_swaps,HeapSort,10000000,675.271,none,0,43128,42934,16.4711,444849277,231605792
repeated_1_5,HeapSort,10000000,550.275,none,0,43128,42934,12.9236,351622539,177537528
repeated,HeapSort,10000000,31.6333,none,0,43104,42894,0.894041,29999994,9999999
reversed,HeapSort,10000000,671.817,none,0,43104,42910,15.422,426919609,216912428
zigzag,HeapSort,10000000,703.893,none,0,43132,42938,17.3079,432463026,221896606
endnoise,HeapSort,10000000,652.786,none,0,43132,42938,14.8335,446056168,232185536
ordered,HeapSort,10000000,666.318,none,0,43088,42894,13.112,445162673,231881708
random,HeapSort,10000000,1478.99,none,0,43092,42899,37.0785,434646478,223836727
random_swaps,HeapSort,10000000,732.078,none,0,43128,42935,14.3487,444849277,231605792
repeated_1_5,HeapSort,10000000,598.101,none,0,43128,42934,11.5245,351622539,177537528
repeated,HeapSort,10000000,31.915,none,0,43088,42878,0.876341,29999994,9999999
reversed,HeapSort,10000000,676.004,none,0,43068,42874,15.3083,426919609,216912428
zigzag,HeapSort,10000000,718.717,none,0,43132,42938,16.5247,432463026,221896606
endnoise,HeapSort,10000000,692.243,none,0,43132,42938,13.3415,446056168,232185536
ordered,HeapSort,10000000,676.308,none,0,43104,42910,13.0159,445162673,231881708
random,HeapSort,10000000,1617.06,none,0,43128,42935,32.7203,434646478,223836727
random_swaps,HeapSort,10000000,655.969,none,0,43072,42878,16.2887,444849277,231605792
repeated_1_5,HeapSort,10000000,542.449,none,0,43128,42934,13.4751,351622539,177537528
repeated,HeapSort,10000000,32.3986,none,0,43096,42886,0.908994,29999994,9999999
reversed,HeapSort,10000000,726.927,none,0,43120,42927,14.0559,426919609,216912428
zigzag,HeapSort,10000000,714.499,none,0,43132,42938,16.5792,432463026,221896606
endnoise,HeapSort,10000000,690.057,none,0,43120,42925,13.2954,446056168,232185536
ordered,HeapSort,10000000,670.497,none,0,43076,42882,13.0357,445162673,231881708
random,HeapSort,10000000,1621.67,none,0,43128,42935,33.0042,434646478,223836727
random_swaps,HeapSort,10000000,659.403,none,0,43072,42878,15.9725,444849277,231605792
repeated_1_5,HeapSort,10000000,581.324,none,0,43080,42886,11.5826,351622539,177537528
repeated,HeapSort,10000000,32.3454,none,0,43084,42857,0.869871,29999994,9999999
reversed,HeapSort,10000000,739.771,none,0,43116,42922,15.213,426919609,216912428
