vector_type,algorithm,size,time_ms,stress,carga,ram_kb_max,ram_kb_media,energy_j,comparisons,swaps
endnoise,MergeSort,10000000,508.425,none,0,81968,49241,8.68302,119525953,0
ordered,MergeSort,10000000,501.121,none,0,81968,48527,9.24516,118788160,0
random,MergeSort,10000000,1142.79,none,0,81952,49367,25.1429,220104411,0
random_swaps,MergeSort,10000000,493.687,none,0,81992,48804,11.7972,201023078,0
repeated_1_5,MergeSort,10000000,612.477,none,0,81908,48697,14.2182,201960755,0
repeated,MergeSort,10000000,461.213,none,0,81952,49077,10.9493,118788160,0
reversed,MergeSort,10000000,491.395,none,0,81992,49259,9.56107,114434624,0
zigzag,MergeSort,10000000,474.714,none,0,81888,48299,11.0808,171731584,0
endnoise,MergeSort,10000000,458.291,none,0,81968,48681,10.9027,119525953,0
ordered,MergeSort,10000000,453.842,none,0,81952,48328,10.8264,118788160,0
random,MergeSort,10000000,1144.51,none,0,81972,49161,25.4386,220104411,0
random_swaps,MergeSort,10000000,504.236,none,0,81952,48936,11.4555,201023078,0
repeated_1_5,MergeSort,10000000,615.783,none,0,81940,48333,14.4406,201960755,0
repeated,MergeSort,10000000,449.323,none,0,81952,49210,10.9222,118788160,0
reversed,MergeSort,10000000,445.231,none,0,81896,48352,10.6958,114434624,0
zigzag,MergeSort,10000000,505.099,none,0,81900,48080,10.0953,171731584,0
endnoise,MergeSort,10000000,490.535,none,0,81904,48686,9.70609,119525953,0
ordered,MergeSort,10000000,450.667,none,0,81952,49083,10.9517,118788160,0
random,MergeSort,10000000,1146.72,none,0,81984,49282,25.5945,220104411,0
random_swaps,MergeSort,10000000,500.09,none,0,81952,48857,11.5959,201023078,0
repeated_1_5,MergeSort,10000000,619.01,none,0,81940,48035,14.1691,201960755,0
repeated,MergeSort,10000000,497.428,none,0,81968,48148,9.48118,118788160,0
reversed,MergeSort,10000000,477.868,none,0,81948,48768,9.47709,114434624,0
zigzag,MergeSort,10000000,503.649,none,0,81952,48339,10.037,171731584,0
endnoise,MergeSort,10000000,466.558,none,0,82072,48482,11.3581,119525953,0
ordered,MergeSort,10000000,454.902,none,0,82076,48037,11.0622,118788160,0
random,MergeSort,10000000,1140.13,none,0,81996,49541,25.3997,220104411,0
random_swaps,MergeSort,10000000,526.87,none,0,81900,48632,10.431,201023078,0
