vector_type,algorithm,size,time_ms,stress,carga,ram_kb_max,ram_kb_media,energy_j,comparisons,swaps
ordered,HeapSort,10000000,617.532,none,0,43128,42934,14.3763,445162673,231881708
ordered,MergeSort,10000000,501.121,none,0,81968,48527,9.24516,118788160,0
ordered,QuickSort,10000000,265.723,none,0,43076,42881,5.92619,426445618,116046024
ordered,HeapSort,10000000,623.688,none,0,43104,42909,14.2015,445162673,231881708
ordered,MergeSort,10000000,453.842,none,0,81952,48328,10.8264,118788160,0
ordered,QuickSort,10000000,265.146,none,0,43072,42877,5.95171,426445618,116046024
ordered,HeapSort,10000000,666.318,none,0,43088,42894,13.112,445162673,231881708
ordered,MergeSort,10000000,450.667,none,0,81952,49083,10.9517,118788160,0
ordered,QuickSort,10000000,277.333,none,0,43132,42937,5.52605,426445618,116046024
ordered,HeapSort,10000000,676.308,none,0,43104,42910,13.0159,445162673,231881708
ordered,MergeSort,10000000,454.902,none,0,82076,48037,11.0622,118788160,0
ordered,QuickSort,10000000,276.707,none,0,43100,42905,5.49089,426445618,116046024
ordered,HeapSort,10000000,670.497,none,0,43076,42882,13.0357,445162673,231881708
ordered,MergeSort,10000000,449.993,none,0,81948,48984,10.9252,118788160,0
ordered,QuickSort,10000000,277.389,none,0,43084,42887,5.41783,426445618,116046024
ordered,HeapSort,10000000,774.687,cpu,0.5,43244,43059,38.4992,445162673,231881708
ordered,HeapSort,10000000,687.564,ram,0.5,16820016,16820238,18.6994,445162673,231881708
ordered,HeapSort,10000000,922.357,both,0.5,16819804,16820279,34.0528,445162673,231881708
ordered,MergeSort,10000000,618.142,cpu,0.5,82116,48668,30.7637,118788160,0
ordered,MergeSort,10000000,515.748,ram,0.5,16859188,16825543,12.2751,118788160,0
ordered,MergeSort,10000000,743.981,both,0.5,16859240,16825871,27.6726,118788160,0
ordered,QuickSort,10000000,330.618,cpu,0.5,43256,43069,16.1217,426445618,116046024
ordered,QuickSort,10000000,275.581,ram,0.5,16819908,16820189,8.02043,426445618,116046024
ordered,QuickSort,10000000,330.761,both,0.5,16820144,16820297,17.7447,426445618,116046024
ordered,HeapSort,10000000,774.102,cpu,0.5,43196,43011,38.5019,445162673,231881708
ordered,HeapSort,10000000,629.691,ram,0.5,16820008,16820222,20.1617,445162673,231881708
ordered,HeapSort,10000000,795.541,both,0.5,16820144,16820303,42.132,445162673,231881708
ordered,MergeSort,10000000,619.509,cpu,0.5,82116,48867,30.8552,118788160,0
ordered,MergeSort,10000000,520.412,ram,0.5,16859048,16826667,12.4012,118788160,0
