vector_type,algorithm,size,time_ms,stress,carga,ram_kb_max,ram_kb_media,energy_j,comparisons,swaps
endnoise,QuickSort,10000000,368.159,none,0,43132,42938,8.07957,530500174,161104803
ordered,QuickSort,10000000,265.723,none,0,43076,42881,5.92619,426445618,116046024
random,QuickSort,10000000,841.404,none,0,43092,42899,16.1013,585074947,149196793
random_swaps,QuickSort,10000000,490.701,none,0,43128,42934,10.9211,688909350,216882152
repeated_1_5,QuickSort,10000000,2505.79,none,0,43128,42935,55.8402,258330577,121244670
repeated,QuickSort,10000000,2675.48,none,0,43112,42919,57.0466,215374223,120243441
reversed,QuickSort,10000000,296.547,none,0,43128,42933,6.75218,434489484,122326263
zigzag,QuickSort,10000000,412.053,none,0,43124,42930,7.95451,516288662,156489976
endnoise,QuickSort,10000000,371.027,none,0,43056,42862,8.16416,530500174,161104803
ordered,QuickSort,10000000,265.146,none,0,43072,42877,5.95171,426445618,116046024
random,QuickSort,10000000,789.251,none,0,43128,42935,17.87,585074947,149196793
random_swaps,QuickSort,10000000,490.879,none,0,43068,42874,10.9458,688909350,216882152
repeated_1_5,QuickSort,10000000,2620.9,none,0,43124,42931,49.8599,258330577,121244670
repeated,QuickSort,10000000,3481.66,none,0,43080,42887,64.9298,215374223,120243441
reversed,QuickSort,10000000,296.753,none,0,43116,42921,6.89372,434489484,122326263
zigzag,QuickSort,10000000,389.033,none,0,43084,42890,8.81107,516288662,156489976
endnoise,QuickSort,10000000,369.461,none,0,43096,42902,8.20982,530500174,161104803
ordered,QuickSort,10000000,277.333,none,0,43132,42937,5.52605,426445618,116046024
random,QuickSort,10000000,828.458,none,0,43112,42919,16.1268,585074947,149196793
random_swaps,QuickSort,10000000,516.349,none,0,43104,42910,9.8707,688909350,216882152
repeated_1_5,QuickSort,10000000,2618.61,none,0,43136,42943,49.9409,258330577,121244670
repeated,QuickSort,10000000,2668.33,none,0,43120,42927,57.6875,215374223,120243441
reversed,QuickSort,10000000,296.205,none,0,43132,42937,6.71299,434489484,122326263
zigzag,QuickSort,10000000,388.526,none,0,43124,42930,8.78519,516288662,156489976
endnoise,QuickSort,10000000,385.086,none,0,43128,42934,7.4752,530500174,161104803
ordered,QuickSort,10000000,276.707,none,0,43100,42905,5.49089,426445618,116046024
random,QuickSort,10000000,824.85,none,0,43124,42931,16.0706,585074947,149196793
random_swaps,QuickSort,10000000,490.823,none,0,43080,42886,10.8243,688909350,216882152
repeated_1_5,QuickSort,10000000,2502.71,none,0,43132,42939,54.4814,258330577,121244670
repeated,QuickSort,10000000,2774.9,none,0,43128,42935,53.0447,215374223,120243441
reversed,QuickSort,10000000,296.951,none,0,43080,42885,6.80742,434489484,122326263
zigzag,QuickSort,10000000,389.013,none,0,43132,42938,8.73283,516288662,156489976
endnoise,QuickSort,10000000,392.134,none,0,43128,42932,7.41111,530500174,161104803
ordered,QuickSort,10000000,277.389,none,0,43084,42887,5.41783,426445618,116046024
random,QuickSort,10000000,782.858,none,0,43132,42938,17.4775,585074947,149196793
random_swaps,QuickSort,10000000,490.423,none,0,43132,42938,10.6946,688909350,216882152
repeated_1_5,QuickSort,10000000,2500.99,none,0,43128,42935,53.4282,258330577,121244670
repeated,QuickSort,10000000,2834.27,none,0,43084,42891,53.579,215374223,120243441
reversed,QuickSort,10000000,298.376,none,0,43128,42933,6.76512,434489484,122326263
zigzag,QuickSort,10000000,416.886,none,0,43128,42934,8.12364,516288662,156489976
