vector_type,algorithm,size,time_ms,stress,carga,ram_kb_max,ram_kb_media,energy_j,comparisons,swaps
random,HeapSort,10000000,1481.63,none,0,43088,42895,36.4218,434646478,223836727
random,MergeSort,10000000,1142.79,none,0,81952,49367,25.1429,220104411,0
random,QuickSort,10000000,841.404,none,0,43092,42899,16.1013,585074947,149196793
random,HeapSort,10000000,1501.51,none,0,43124,42931,35.6228,434646478,223836727
random,MergeSort,10000000,1144.51,none,0,81972,49161,25.4386,220104411,0
random,QuickSort,10000000,789.251,none,0,43128,42935,17.87,585074947,149196793
random,HeapSort,10000000,1478.99,none,0,43092,42899,37.0785,434646478,223836727
random,MergeSort,10000000,1146.72,none,0,81984,49282,25.5945,220104411,0
random,QuickSort,10000000,828.458,none,0,43112,42919,16.1268,585074947,149196793
random,HeapSort,10000000,1617.06,none,0,43128,42935,32.7203,434646478,223836727
random,MergeSort,10000000,1140.13,none,0,81996,49541,25.3997,220104411,0
random,QuickSort,10000000,824.85,none,0,43124,42931,16.0706,585074947,149196793
random,HeapSort,10000000,1621.67,none,0,43128,42935,33.0042,434646478,223836727
random,MergeSort,10000000,1144.14,none,0,81948,49307,25.1039,220104411,0
random,QuickSort,10000000,782.858,none,0,43132,42938,17.4775,585074947,149196793
random,HeapSort,10000000,2182.64,cpu,0.5,43244,43059,77.7116,434646478,223836727
random,HeapSort,10000000,1751.58,ram,0.5,16820016,16820231,57.5562,434646478,223836727
random,HeapSort,10000000,2435.78,both,0.5,16820064,16820283,93.5082,434646478,223836727
random,MergeSort,10000000,1398.38,cpu,0.5,82028,49308,68.326,220104411,0
random,MergeSort,10000000,1231.25,ram,0.5,16859072,16826683,33.8214,220104411,0
random,MergeSort,10000000,1399.85,both,0.5,16859336,16826640,75.6948,220104411,0
random,QuickSort,10000000,957.304,cpu,0.5,43244,43059,46.6701,585074947,149196793
random,QuickSort,10000000,851.084,ram,0.5,16819880,16820223,23.524,585074947,149196793
random,QuickSort,10000000,960.458,both,0.5,16820060,16820283,51.7548,585074947,149196793
random,HeapSort,10000000,1844.78,cpu,0.5,43256,43071,90.9284,434646478,223836727
random,HeapSort,10000000,1875.6,ram,0.5,16819880,16820223,51.042,434646478,223836727
random,HeapSort,10000000,2440.08,both,0.5,16819832,16820243,97.7475,434646478,223836727
random,MergeSort,10000000,1396.23,cpu,0.5,82112,49327,68.593,220104411,0
random,MergeSort,10000000,1248.22,ram,0.5,16859076,16826477,32.9265,220104411,0
random,MergeSort,10000000,1595.49,both,0.5,16859228,16826577,62.0699,220104411,0
random,QuickSort,10000000,953.886,cpu,0.5,43252,43067,46.8246,585074947,149196793
random,QuickSort,10000000,863.165,ram,0.5,16820016,16820235,23.1994,585074947,149196793
random,QuickSort,10000000,994.672,both,0.5,16820140,16820295,53.5887,585074947,149196793
random,HeapSort,10000000,1819.35,cpu,0.5,43252,43067,89.5777,434646478,223836727
random,HeapSort,10000000,1889.64,ram,0.5,16819752,16820227,51.5484,434646478,223836727
random,HeapSort,10000000,2139.69,both,0.5,16820144,16820303,106.993,434646478,223836727
random,MergeSort,10000000,1534.5,cpu,0.5,82112,49287,58.0101,220104411,0
random,MergeSort,10000000,1158.2,ram,0.5,16859300,16826645,36.929,220104411,0
random,MergeSort,10000000,1557.63,both,0.5,16858964,16826743,63.6536,220104411,0
random,QuickSort,10000000,1084.06,cpu,0.5,43236,43051,38.3061,585074947,149196793
random,QuickSort,10000000,788.705,ram,0.5,16820016,16820235,25.6838,585074947,149196793
random,QuickSort,10000000,963.539,both,0.5,16820088,16820247,51.3906,585074947,149196793
random,HeapSort,10000000,1814.59,cpu,0.5,43240,43055,89.7639,434646478,223836727
random,HeapSort,10000000,1771.7,ram,0.5,16819760,16820235,55.7689,434646478,223836727
random,HeapSort,10000000,2108.49,both,0.5,16820144,16820303,111.204,434646478,223836727
random,MergeSort,10000000,1392.75,cpu,0.5,82120,49442,68.1351,220104411,0
random,MergeSort,10000000,1157.25,ram,0.5,16859208,16826725,36.0513,220104411,0
random,MergeSort,10000000,1424.49,both,0.5,16859244,16826651,73.8171,220104411,0
random,QuickSort,10000000,955.327,cpu,0.5,43244,43059,46.7941,585074947,149196793
random,QuickSort,10000000,809.139,ram,0.5,16820016,16820235,24.4512,585074947,149196793
random,QuickSort,10000000,1051.52,both,0.5,16819920,16820267,44.2894,585074947,149196793
random,HeapSort,10000000,2127.48,cpu,0.5,43252,43067,74.7721,434646478,223836727
random,HeapSort,10000000,1953.23,ram,0.5,16819940,16820219,49.819,434646478,223836727
random,HeapSort,10000000,2399.27,both,0.5,16820144,16820299,93.5507,434646478,223836727
random,MergeSort,10000000,1391.84,cpu,0.5,82112,49546,68.2319,220104411,0
random,MergeSort,10000000,1286.99,ram,0.5,16859112,16826513,32.2965,220104411,0
random,MergeSort,10000000,1615.51,both,0.5,16859256,16826649,62.4596,220104411,0
random,QuickSort,10000000,1080.53,cpu,0.5,43196,43011,38.6273,585074947,149196793
random,QuickSort,10000000,914.065,ram,0.5,16820016,16820231,22.0279,585074947,149196793
random,QuickSort,10000000,1096.76,both,0.5,16820064,16820287,42.4704,585074947,149196793
random,HeapSort,10000000,2447.29,cpu,1,43272,43123,111.734,434646478,223836727
random,HeapSort,10000000,2173.66,ram,1,30854696,30786400,85.3198,434646478,223836727
random,HeapSort,10000000,4338.26,both,1,30871848,30813900,200.831,434646478,223836727
random,MergeSort,10000000,1817.31,cpu,1,81936,49033,82.7788,220104411,0
random,MergeSort,10000000,1442.58,ram,1,30884008,30802455,56.6352,220104411,0
random,MergeSort,10000000,3270.29,both,1,30877480,30805789,151.765,220104411,0
random,QuickSort,10000000,1525.34,cpu,1,43276,43127,68.8162,585074947,149196793
random,QuickSort,10000000,960.223,ram,1,30869248,30782228,36.1909,585074947,149196793
random,QuickSort,10000000,1660.18,both,1,30866504,30776959,77.0768,585074947,149196793
random,HeapSort,10000000,2624.31,cpu,1,43288,43135,118.02,434646478,223836727
random,HeapSort,10000000,1948.34,ram,1,31053140,30969549,74.5657,434646478,223836727
random,HeapSort,10000000,4165.52,both,1,31055920,30953576,185.456,434646478,223836727
random,MergeSort,10000000,2116.25,cpu,1,81792,48707,91.1306,220104411,0
random,MergeSort,10000000,1657.9,ram,1,31030840,30966469,58.5787,220104411,0
random,MergeSort,10000000,3393.79,both,1,31053240,30967859,147.944,220104411,0
random,QuickSort,10000000,1378.58,cpu,1,43292,43139,52.9022,585074947,149196793
random,QuickSort,10000000,1118.97,ram,1,31079088,30997625,43.2407,585074947,149196793
random,QuickSort,10000000,1280.54,both,1,31067352,30992225,62.0687,585074947,149196793
random,HeapSort,10000000,2651.83,cpu,1,43268,43115,120.232,434646478,223836727
random,HeapSort,10000000,2485.35,ram,1,31207352,31107841,77.3291,434646478,223836727
random,HeapSort,10000000,4884.9,both,1,31172408,31079310,203.28,434646478,223836727
random,MergeSort,10000000,1532.84,cpu,1,81912,49597,71.6738,220104411,0
random,MergeSort,10000000,1621.74,ram,1,31166648,31098974,49.6097,220104411,0
random,MergeSort,10000000,3383.46,both,1,31178700,31074970,155.679,220104411,0
random,QuickSort,10000000,1053.9,cpu,1,43292,43143,49.5165,585074947,149196793
random,QuickSort,10000000,1177.8,ram,1,31198552,31076531,36.0436,585074947,149196793
random,QuickSort,10000000,1509.22,both,1,31180980,31095216,70.0744,585074947,149196793
random,HeapSort,10000000,2197.67,cpu,1,43264,43111,100.988,434646478,223836727
random,HeapSort,10000000,2533.72,ram,1,31281336,31186271,72.4803,434646478,223836727
random,HeapSort,10000000,3075.53,both,1,31243280,31147182,127.607,434646478,223836727
random,MergeSort,10000000,1692.51,cpu,1,82140,49890,78.5714,220104411,0
random,MergeSort,10000000,1515.95,ram,1,31265460,31173855,46.1101,220104411,0
random,MergeSort,10000000,3370.33,both,1,31274828,31188422,145.314,220104411,0
random,QuickSort,10000000,1126.08,cpu,1,43292,43138,42.2186,585074947,149196793
random,QuickSort,10000000,1179.33,ram,1,31277484,31200230,38.3216,585074947,149196793
random,QuickSort,10000000,2232.71,both,1,31240808,31165640,99.6373,585074947,149196793
random,HeapSort,10000000,2984.95,cpu,1,43280,43131,134.609,434646478,223836727
random,HeapSort,10000000,2766.17,ram,1,31092024,31005807,117.018,434646478,223836727
random,HeapSort,10000000,3579.13,both,1,31117588,31001842,156.204,434646478,223836727
random,MergeSort,10000000,1894.9,cpu,1,82144,49840,76.9659,220104411,0
random,MergeSort,10000000,1639.31,ram,1,31101112,30995324,50.3086,220104411,0
random,MergeSort,10000000,3532.68,both,1,31108664,31001927,156.81,220104411,0
random,QuickSort,10000000,1413.95,cpu,1,43248,43095,64.6431,585074947,149196793
random,QuickSort,10000000,989.517,ram,1,31110748,31021384,42.4497,585074947,149196793
random,QuickSort,10000000,2228.58,both,1,31141552,31049150,95.1364,585074947,149196793
