vector_type,algorithm,size,time_ms,stress,carga,ram_kb_max,ram_kb_media,energy_j,comparisons,swaps
random_swaps,HeapSort,10000000,661.892,none,0,43080,42886,15.6403,444849277,231605792
random_swaps,MergeSort,10000000,493.687,none,0,81992,48804,11.7972,201023078,0
random_swaps,QuickSort,10000000,490.701,none,0,43128,42934,10.9211,688909350,216882152
random_swaps,HeapSort,10000000,675.271,none,0,43128,42934,16.4711,444849277,231605792
random_swaps,MergeSort,10000000,504.236,none,0,81952,48936,11.4555,201023078,0
random_swaps,QuickSort,10000000,490.879,none,0,43068,42874,10.9458,688909350,216882152
random_swaps,HeapSort,10000000,732.078,none,0,43128,42935,14.3487,444849277,231605792
random_swaps,MergeSort,10000000,500.09,none,0,81952,48857,11.5959,201023078,0
random_swaps,QuickSort,10000000,516.349,none,0,43104,42910,9.8707,688909350,216882152
random_swaps,HeapSort,10000000,655.969,none,0,43072,42878,16.2887,444849277,231605792
random_swaps,MergeSort,10000000,526.87,none,0,81900,48632,10.431,201023078,0
random_swaps,QuickSort,10000000,490.823,none,0,43080,42886,10.8243,688909350,216882152
random_swaps,HeapSort,10000000,659.403,none,0,43072,42878,15.9725,444849277,231605792
random_swaps,MergeSort,10000000,534.228,none,0,81940,49114,10.607,201023078,0
random_swaps,QuickSort,10000000,490.423,none,0,43132,42938,10.6946,688909350,216882152
random_swaps,HeapSort,10000000,986.105,cpu,0.5,43260,43075,32.5599,444849277,231605792
random_swaps,HeapSort,10000000,684.587,ram,0.5,16819840,16820182,22.5367,444849277,231605792
random_swaps,HeapSort,10000000,1033.93,both,0.5,16820136,16820291,38.2997,444849277,231605792
random_swaps,MergeSort,10000000,663.996,cpu,0.5,82020,48662,33.1217,201023078,0
random_swaps,MergeSort,10000000,521.087,ram,0.5,16859168,16826660,15.7485,201023078,0
random_swaps,MergeSort,10000000,779.945,both,0.5,16858956,16826263,29.4393,201023078,0
random_swaps,QuickSort,10000000,680.762,cpu,0.5,43224,43038,24.1047,688909350,216882152
random_swaps,QuickSort,10000000,495.112,ram,0.5,16819928,16820142,15.7154,688909350,216882152
random_swaps,QuickSort,10000000,691.853,both,0.5,16819880,16820290,26.7542,688909350,216882152
random_swaps,HeapSort,10000000,834.532,cpu,0.5,43256,43071,41.5883,444849277,231605792
random_swaps,HeapSort,10000000,764.721,ram,0.5,16819832,16820178,20.0861,444849277,231605792
random_swaps,HeapSort,10000000,874.93,both,0.5,16820144,16820299,46.2475,444849277,231605792
random_swaps,MergeSort,10000000,667.719,cpu,0.5,82108,48998,33.2294,201023078,0
random_swaps,MergeSort,10000000,520.673,ram,0.5,16859056,16826745,15.1413,201023078,0
random_swaps,MergeSort,10000000,668.097,both,0.5,16859328,16826272,36.1116,201023078,0
random_swaps,QuickSort,10000000,604.325,cpu,0.5,43200,43014,29.5398,688909350,216882152
random_swaps,QuickSort,10000000,498.998,ram,0.5,16820016,16820234,15.6886,688909350,216882152
random_swaps,QuickSort,10000000,664.972,both,0.5,16820144,16820298,27.777,688909350,216882152
random_swaps,HeapSort,10000000,828.864,cpu,0.5,43220,43035,41.1799,444849277,231605792
random_swaps,HeapSort,10000000,704.806,ram,0.5,16820008,16820222,21.5696,444849277,231605792
random_swaps,HeapSort,10000000,1009.54,both,0.5,16819956,16820239,38.2008,444849277,231605792
random_swaps,MergeSort,10000000,665.468,cpu,0.5,82112,48853,33.1659,201023078,0
