vector_type,algorithm,size,time_ms,stress,carga,ram_kb_max,ram_kb_media,energy_j,comparisons,swaps
repeated,HeapSort,10000000,32.9079,none,0,43076,42866,0.897154,29999994,9999999
repeated,MergeSort,10000000,461.213,none,0,81952,49077,10.9493,118788160,0
repeated,QuickSort,10000000,2675.48,none,0,43112,42919,57.0466,215374223,120243441
repeated,HeapSort,10000000,31.6333,none,0,43104,42894,0.894041,29999994,9999999
repeated,MergeSort,10000000,449.323,none,0,81952,49210,10.9222,118788160,0
repeated,QuickSort,10000000,3481.66,none,0,43080,42887,64.9298,215374223,120243441
repeated,HeapSort,10000000,31.915,none,0,43088,42878,0.876341,29999994,9999999
repeated,MergeSort,10000000,497.428,none,0,81968,48148,9.48118,118788160,0
repeated,QuickSort,10000000,2668.33,none,0,43120,42927,57.6875,215374223,120243441
repeated,HeapSort,10000000,32.3986,none,0,43096,42886,0.908994,29999994,9999999
repeated,MergeSort,10000000,458.125,none,0,81992,49166,10.4688,118788160,0
repeated,QuickSort,10000000,2774.9,none,0,43128,42935,53.0447,215374223,120243441
repeated,HeapSort,10000000,32.3454,none,0,43084,42857,0.869871,29999994,9999999
repeated,MergeSort,10000000,450.951,none,0,81972,48831,10.8779,118788160,0
repeated,QuickSort,10000000,2834.27,none,0,43084,42891,53.579,215374223,120243441
repeated,HeapSort,10000000,57.0592,cpu,0.5,43200,43004,2.43426,29999994,9999999
repeated,HeapSort,10000000,37.4152,ram,0.5,16819752,16820206,0.889585,29999994,9999999
repeated,HeapSort,10000000,56.8192,both,0.5,16819888,16820292,2.35125,29999994,9999999
repeated,MergeSort,10000000,619.832,cpu,0.5,82072,48887,30.8169,118788160,0
repeated,MergeSort,10000000,519.569,ram,0.5,16859088,16826350,12.4527,118788160,0
repeated,MergeSort,10000000,725.919,both,0.5,16859332,16825726,27.6807,118788160,0
repeated,QuickSort,10000000,3382.21,cpu,0.5,43256,43071,160.898,215374223,120243441
repeated,QuickSort,10000000,3767.76,ram,0.5,16819780,16820191,103.404,215374223,120243441
repeated,QuickSort,10000000,3400.49,both,0.5,16819928,16820275,179.926,215374223,120243441
repeated,HeapSort,10000000,50.3228,cpu,0.5,43252,43053,2.52306,29999994,9999999
repeated,HeapSort,10000000,36.6294,ram,0.5,16819812,16820206,0.900816,29999994,9999999
repeated,HeapSort,10000000,55.7342,both,0.5,16820040,16820252,2.4378,29999994,9999999
repeated,MergeSort,10000000,621.797,cpu,0.5,82116,48810,31.0075,118788160,0
repeated,MergeSort,10000000,515.555,ram,0.5,16858920,16825579,12.5892,118788160,0
repeated,MergeSort,10000000,711.674,both,0.5,16859104,16826026,28.5476,118788160,0
repeated,QuickSort,10000000,3366.03,cpu,0.5,43244,43059,161.707,215374223,120243441
repeated,QuickSort,10000000,2714.26,ram,0.5,16820016,16820231,84.0493,215374223,120243441
repeated,QuickSort,10000000,3373.12,both,0.5,16820128,16820287,181.693,215374223,120243441
repeated,HeapSort,10000000,50.6673,cpu,0.5,43256,43060,2.54406,29999994,9999999
repeated,HeapSort,10000000,33.2792,ram,0.5,16819960,16820158,1.05047,29999994,9999999
repeated,HeapSort,10000000,55.9954,both,0.5,16819956,16820232,2.40624,29999994,9999999
repeated,MergeSort,10000000,689.289,cpu,0.5,82116,48590,26.4939,118788160,0
