vector_type,algorithm,size,time_ms,stress,carga,ram_kb_max,ram_kb_media,energy_j,comparisons,swaps
repeated_1_5,HeapSort,10000000,590.864,none,0,43120,42926,11.6292,351622539,177537528
repeated_1_5,MergeSort,10000000,612.477,none,0,81908,48697,14.2182,201960755,0
repeated_1_5,QuickSort,10000000,2505.79,none,0,43128,42935,55.8402,258330577,121244670
repeated_1_5,HeapSort,10000000,550.275,none,0,43128,42934,12.9236,351622539,177537528
repeated_1_5,MergeSort,10000000,615.783,none,0,81940,48333,14.4406,201960755,0
repeated_1_5,QuickSort,10000000,2620.9,none,0,43124,42931,49.8599,258330577,121244670
repeated_1_5,HeapSort,10000000,598.101,none,0,43128,42934,11.5245,351622539,177537528
repeated_1_5,MergeSort,10000000,619.01,none,0,81940,48035,14.1691,201960755,0
repeated_1_5,QuickSort,10000000,2618.61,none,0,43136,42943,49.9409,258330577,121244670
repeated_1_5,HeapSort,10000000,542.449,none,0,43128,42934,13.4751,351622539,177537528
repeated_1_5,MergeSort,10000000,650.525,none,0,81912,48049,12.906,201960755,0
repeated_1_5,QuickSort,10000000,2502.71,none,0,43132,42939,54.4814,258330577,121244670
repeated_1_5,HeapSort,10000000,581.324,none,0,43080,42886,11.5826,351622539,177537528
repeated_1_5,MergeSort,10000000,667.96,none,0,81952,48308,12.7551,201960755,0
repeated_1_5,QuickSort,10000000,2500.99,none,0,43128,42935,53.4282,258330577,121244670
repeated_1_5,HeapSort,10000000,674.485,cpu,0.5,43256,43070,33.4895,351622539,177537528
repeated_1_5,HeapSort,10000000,575.095,ram,0.5,16819888,16820234,17.5746,351622539,177537528
repeated_1_5,HeapSort,10000000,769.698,both,0.5,16820016,16820299,31.0248,351622539,177537528
repeated_1_5,MergeSort,10000000,783.939,cpu,0.5,82116,48379,39.0713,201960755,0
repeated_1_5,MergeSort,10000000,696.758,ram,0.5,16859168,16825576,17.7475,201960755,0
repeated_1_5,MergeSort,10000000,790.81,both,0.5,16859336,16825764,43.2909,201960755,0
repeated_1_5,QuickSort,10000000,3153.69,cpu,0.5,43232,43047,150.222,258330577,121244670
repeated_1_5,QuickSort,10000000,2556.44,ram,0.5,16819904,16820183,79.652,258330577,121244670
repeated_1_5,QuickSort,10000000,3549.39,both,0.5,16820044,16820263,139.797,258330577,121244670
repeated_1_5,HeapSort,10000000,747.285,cpu,0.5,43256,43071,28.3031,351622539,177537528
repeated_1_5,HeapSort,10000000,606.311,ram,0.5,16819760,16820234,16.6328,351622539,177537528
repeated_1_5,HeapSort,10000000,801.499,both,0.5,16820008,16820291,32.6072,351622539,177537528
repeated_1_5,MergeSort,10000000,804.047,cpu,0.5,82028,48483,39.8864,201960755,0
repeated_1_5,MergeSort,10000000,687.647,ram,0.5,16859172,16826011,18.0275,201960755,0
repeated_1_5,MergeSort,10000000,793.893,both,0.5,16859336,16825831,42.8876,201960755,0
repeated_1_5,QuickSort,10000000,3066.84,cpu,0.5,43240,43055,111.447,258330577,121244670
repeated_1_5,QuickSort,10000000,2530.62,ram,0.5,16819936,16820219,79.3504,258330577,121244670
repeated_1_5,QuickSort,10000000,3542.45,both,0.5,16820008,16820295,140.104,258330577,121244670
repeated_1_5,HeapSort,10000000,671.882,cpu,0.5,43248,43062,33.4251,351622539,177537528
repeated_1_5,HeapSort,10000000,583.616,ram,0.5,16820016,16820230,17.7504,351622539,177537528
repeated_1_5,HeapSort,10000000,681.457,both,0.5,16820092,16820250,37.4959,351622539,177537528
repeated_1_5,MergeSort,10000000,790.547,cpu,0.5,82112,48455,39.214,201960755,0
repeated_1_5,MergeSort,10000000,626.84,ram,0.5,16859116,16825838,19.8025,201960755,0
repeated_1_5,MergeSort,10000000,932.853,both,0.5,16858956,16825882,34.3429,201960755,0
