vector_type,algorithm,size,time_ms,stress,carga,ram_kb_max,ram_kb_media,energy_j,comparisons,swaps
zigzag,HeapSort,10000000,704.783,none,0,43076,42882,17.1565,432463026,221896606
zigzag,MergeSort,10000000,474.714,none,0,81888,48299,11.0808,171731584,0
zigzag,QuickSort,10000000,412.053,none,0,43124,42930,7.95451,516288662,156489976
zigzag,HeapSort,10000000,703.893,none,0,43132,42938,17.3079,432463026,221896606
zigzag,MergeSort,10000000,505.099,none,0,81900,48080,10.0953,171731584,0
zigzag,QuickSort,10000000,389.033,none,0,43084,42890,8.81107,516288662,156489976
zigzag,HeapSort,10000000,718.717,none,0,43132,42938,16.5247,432463026,221896606
zigzag,MergeSort,10000000,503.649,none,0,81952,48339,10.037,171731584,0
zigzag,QuickSort,10000000,388.526,none,0,43124,42930,8.78519,516288662,156489976
zigzag,HeapSort,10000000,714.499,none,0,43132,42938,16.5792,432463026,221896606
zigzag,MergeSort,10000000,502.35,none,0,81948,48781,10.1621,171731584,0
zigzag,QuickSort,10000000,389.013,none,0,43132,42938,8.73283,516288662,156489976
zigzag,HeapSort,10000000,773.062,none,0,43132,42939,15.0125,432463026,221896606
zigzag,MergeSort,10000000,470.047,none,0,81952,49205,11.4022,171731584,0
zigzag,QuickSort,10000000,416.886,none,0,43128,42934,8.12364,516288662,156489976
zigzag,HeapSort,10000000,882.365,cpu,0.5,43244,43059,43.9597,432463026,221896606
zigzag,HeapSort,10000000,824.336,ram,0.5,16819888,16820231,20.8666,432463026,221896606
zigzag,HeapSort,10000000,1010.59,both,0.5,16820008,16820295,40.9547,432463026,221896606
zigzag,MergeSort,10000000,733.78,cpu,0.5,82032,48605,25.9974,171731584,0
zigzag,MergeSort,10000000,555.686,ram,0.5,16859192,16825707,12.8595,171731584,0
zigzag,MergeSort,10000000,762.282,both,0.5,16859132,16825678,28.6748,171731584,0
zigzag,QuickSort,10000000,536.856,cpu,0.5,43208,43022,19.6509,516288662,156489976
zigzag,QuickSort,10000000,429.707,ram,0.5,16820016,16820230,11.227,516288662,156489976
zigzag,QuickSort,10000000,493.254,both,0.5,16820088,16820246,25.4909,516288662,156489976
zigzag,HeapSort,10000000,982.921,cpu,0.5,43252,43067,36.8404,432463026,221896606
zigzag,HeapSort,10000000,753.059,ram,0.5,16820008,16820227,23.2706,432463026,221896606
zigzag,HeapSort,10000000,891.464,both,0.5,16819888,16820303,48.6332,432463026,221896606
zigzag,MergeSort,10000000,706.968,cpu,0.5,81892,49119,26.7858,171731584,0
zigzag,MergeSort,10000000,489.21,ram,0.5,16859300,16826632,15.3595,171731584,0
zigzag,MergeSort,10000000,642.397,both,0.5,16858964,16826189,35.3271,171731584,0
zigzag,QuickSort,10000000,531.842,cpu,0.5,43252,43066,20.1806,516288662,156489976
zigzag,QuickSort,10000000,398.544,ram,0.5,16819908,16820190,12.4307,516288662,156489976
zigzag,QuickSort,10000000,537.201,both,0.5,16820068,16820290,22.3442,516288662,156489976
zigzag,HeapSort,10000000,886.597,cpu,0.5,43252,43067,44.0171,432463026,221896606
zigzag,HeapSort,10000000,748.084,ram,0.5,16820016,16820235,22.9653,432463026,221896606
zigzag,HeapSort,10000000,899.506,both,0.5,16820048,16820271,48.49,432463026,221896606
zigzag,MergeSort,10000000,743.904,cpu,0.5,82112,48801,25.1174,171731584,0
zigzag,MergeSort,10000000,480.829,ram,0.5,16859300,16826750,15.186,171731584,0
zigzag,MergeSort,10000000,755.29,both,0.5,16859092,16825880,28.2192,171731584,0
zigzag,QuickSort,10000000,484.115,cpu,0.5,43256,43070,23.6293,516288662,156489976
zigzag,QuickSort,10000000,424.265,ram,0.5,16819776,16820182,11.2285,516288662,156489976
zigzag,QuickSort,10000000,485.798,both,0.5,16820040,16820258,26.0938,516288662,156489976
zigzag,HeapSort,10000000,878.89,cpu,0.5,43256,43071,44.0359,432463026,221896606
zigzag,HeapSort,10000000,801.31,ram,0.5,16819884,16820227,21.743,432463026,221896606
